Country,Murders,GDP,Recovered,Active,Population,Continent
New Zealand,20,950,1801,45,4822233,Oceania
Nicaragua,139,0,4225,886,6624554,North America
Nigeria,1250,0,51711,7277,206139587,Africa
Norway,11,1002,11863,3328,5421242,Europe
Pakistan,1250,1250,303458,8904,220892331,Asia
Panama,151,623,95552,21632,4314768,North America
Paraguay,191,0,31351,16562,7132530,South America
Peru,1250,680,733000,79865,32971846,South America
Philippines,3252,223,276094,54594,109581085,Asia
Poland,186,690,78982,39684,37846605,Europe
Portugal,37,998,52803,30704,10196707,Europe
Romania,169,230,116628,30417,19237682,Europe
Russia,7885,2240,1011911,244003,145934460,Europe
Rwanda,750,3,3566,1296,12952209,Africa
Saudi Arabia,250,1108,324737,9189,34813867,Asia
Serbia,120,0,0,33923,6804596,Europe
Singapore,15,385,57698,141,5850343,Asia
Slovakia,26,0,5553,13183,5459643,Europe
Slovenia,4,0,5024,3061,2078932,Europe
Somalia,850,0,3079,669,15893219,Africa
South Africa,650,650,622153,51070,59308690,Africa
Spain,96,860,150376,677807,46754783,Europe
Sri Lanka,65,23,3306,1309,21413250,Asia
Sudan,25,62,6764,6070,43849269,Africa
Sweden,65,886,0,92557,10099270,Europe
Switzerland,17,650,48400,9880,8654618,Europe
Syria,523,23,1271,3181,17500657,Asia
Taiwan,25,123,488,32,23816775,Asia
Tajikistan,124,0,9006,1095,9537642,Asia
Thailand,1860,230,3451,126,69799978,Asia
Trinidad and Tobago,55,0,3221,1732,1399491,North America
Turkey,1250,253,293145,32108,84339067,Asia
Uganda,2543,0,6022,3586,45741000,Africa
Ukraine,1273,63,116861,141234,43733759,Europe
United Arab Emirates,25,1250,95973,8717,9890400,Asia
United Kingdom,139,256,2495,548220,67886004,Europe
Uruguay,36,0,1930,288,3473727,South America
United States of America,29500,25462,3062983,4440579,331002647,North America
Uzbekistan,249,0,57704,2570,33469199,Asia
Venezuela,2090,650,73919,7843,28435943,South America
Vietnam,652,350,1024,48,97338583,Asia
Yemen,1245,0,1329,127,29825968,Asia
Zambia,1236,0,14541,537,18383956,Africa
Zimbabwe,254,0,6492,1288,14862927,Africa
